"num","cc","subversion","WI","GE","BR"
"4","TZ",2,"","TZGE4CFL.shp",""
"7","TZ",3,"","TZGE7IFL.shp",""
"5","UA",1,"","","UABR51FL.DTA"
"0","UG",1,"","","UGBR01FL.dta"
"3","UG",1,"UGWI33FL.DTA","","UGBR33FL.dta"
"4","UG",1,"UGWI41FL.DTA","UGGE43FL.shp","UGBR41FL.dta"
"5","UG",1,"","UGGE53FL.shp","UGBR52FL.DTA"
"5","UG",2,"","UGGE5AFL.shp","UGBR5HFL.DTA"
"6","UG",1,"","UGGE61FL.shp","UGBR60FL.DTA"
"7","UG",2,"","UGGE7AFL.shp","UGBR7AFL.DTA"
"6","UG",2,"","UGGE6AFL.shp",""
"7","UG",1,"","UGGE71FL.shp",""
"4","UP",1,"","","UPBR42FL.dta"
"3","UZ",1,"UZWI31FL.DTA","","UZBR31FL.dta"
"4","UZ",1,"","UZGE42FL.shp",""
"3","VN",1,"VNWI31FL.DTA","","VNBR31FL.dta"
"4","VN",1,"VNWI41FL.DTA","","VNBR41FL.dta"
"4","WB",1,"","","WBBR42FL.dta"
"2","YE",1,"","","YEBR21FL.dta"
"6","YE",1,"","","YEBR61FL.DTA"
"3","ZA",1,"ZAWI31FL.DTA","","ZABR31FL.dta"
"7","ZA",1,"","ZAGE71FL.shp","ZABR71FL.DTA"
"2","ZM",1,"","","ZMBR21FL.dta"
"3","ZM",1,"ZMWI31FL.DTA","","ZMBR31FL.dta"
"4","ZM",1,"ZMWI41FL.DTA","","ZMBR42FL.dta"
"5","ZM",1,"","ZMGE52FL.shp","ZMBR51FL.DTA"
"6","ZM",1,"","ZMGE61FL.shp","ZMBR61FL.DTA"
"0","ZW",1,"","","ZWBR01FL.dta"
"3","ZW",1,"ZWWI31FL.DTA","","ZWBR31FL.dta"
"4","ZW",1,"ZWwi42fl.dta","ZWGE42FL.shp","ZWBR42FL.DTA"
"5","ZW",1,"","ZWGE52FL.shp","ZWBR52FL.DTA"
"6","ZW",1,"","ZWGE61FL.shp","ZWBR62FL.DTA"
"7","ZW",1,"","ZWGE72FL.shp","ZWBR71FL.DTA"
